model,dataset,kind,level,mean_ratio,std_ratio,n,mean_ratio_healthy,std_ratio_healthy
PatchTST,ETTm2,mask,16,2.11711,0.26907,9,,
PatchTST,ETTm2,mask,48,2.57431,0.23525,9,,
PatchTST,ETTm2,mask,96,2.39531,0.21616,9,,
PatchTST,ETTm2,scale,0.1,1.11004,0.03046,9,,
PatchTST,ETTm2,scale,0.25,1.60685,0.19388,9,,
PatchTST,ETTm2,scale,0.5,3.31953,0.78523,9,,
PatchTST,ETTm2,shift,0.5,2.29759,0.36180,9,,
PatchTST,ETTm2,shift,1.0,5.90563,1.50062,9,,
PatchTST,ETTm2,shift,2.0,20.05305,6.11387,9,,
PatchTST,ETTm2,spike,0.01,2.42354,0.40872,9,,
PatchTST,ETTm2,spike,0.03,3.34014,0.65685,9,,
PatchTST,ETTm2,spike,0.05,3.75031,0.64062,9,,
PatchTST,Weather,dead,1,1.08983,0.09169,9,1.00000,0.00000
PatchTST,Weather,dead,2,1.12585,0.10735,9,1.00000,0.00000
PatchTST,Weather,gauss,0.1,1.00594,0.00519,9,,
PatchTST,Weather,gauss,0.25,1.03518,0.02504,9,,
PatchTST,Weather,gauss,0.5,1.11985,0.06628,9,,
PatchTST,Weather,gauss,1.0,1.38210,0.17442,9,,
PatchTST,Weather,mask,16,1.08461,0.07370,9,,
PatchTST,Weather,mask,48,1.11074,0.08962,9,,
PatchTST,Weather,mask,96,1.12400,0.09796,9,,
PatchTST,Weather,scale,0.1,1.05970,0.00433,9,,
PatchTST,Weather,scale,0.25,1.23429,0.03949,9,,
PatchTST,Weather,scale,0.5,1.75202,0.18160,9,,
PatchTST,Weather,shift,0.5,2.05589,0.27901,9,,
PatchTST,Weather,shift,1.0,5.34700,1.23078,9,,
PatchTST,Weather,shift,2.0,18.63486,5.18294,9,,
PatchTST,Weather,spike,0.01,1.15726,0.07732,9,,
PatchTST,Weather,spike,0.03,1.41077,0.23565,9,,
PatchTST,Weather,spike,0.05,1.65904,0.38278,9,,
TCN,ETTh1,dead,1,1.24721,0.29744,9,1.00000,0.00000
TCN,ETTh1,dead,2,1.37628,0.37581,9,1.00000,0.00000
TCN,ETTh1,gauss,0.1,0.99312,0.00903,9,,
TCN,ETTh1,gauss,0.25,0.97265,0.03355,9,,
TCN,ETTh1,gauss,0.5,1.01867,0.04799,9,,
TCN,ETTh1,gauss,1.0,1.52274,0.44492,9,,
TCN,ETTh1,mask,16,1.00889,0.07224,9,,
TCN,ETTh1,mask,48,1.00735,0.07453,9,,
TCN,ETTh1,mask,96,1.02103,0.08045,9,,
TCN,ETTh1,scale,0.1,1.09157,0.05637,9,,
TCN,ETTh1,scale,0.25,1.28308,0.14560,9,,
TCN,ETTh1,scale,0.5,1.73214,0.31665,9,,
TCN,ETTh1,shift,0.5,1.22035,0.18931,9,,
TCN,ETTh1,shift,1.0,2.19569,0.76017,9,,
TCN,ETTh1,shift,2.0,5.91968,3.36991,9,,
TCN,ETTh1,spike,0.01,1.11543,0.05725,9,,
TCN,ETTh1,spike,0.03,1.38938,0.22813,9,,
TCN,ETTh1,spike,0.05,1.76631,0.56516,9,,
TCN,ETTh2,dead,1,1.84477,0.78801,9,1.00000,0.00000
TCN,ETTh2,dead,2,2.38470,1.08779,9,1.00000,0.00000
TCN,ETTh2,gauss,0.1,1.00209,0.00408,9,,
TCN,ETTh2,gauss,0.25,1.02996,0.01144,9,,
TCN,ETTh2,gauss,0.5,1.15470,0.06113,9,,
TCN,ETTh2,gauss,1.0,2.21302,0.72655,9,,
TCN,ETTh2,mask,16,2.21991,0.78926,9,,
TCN,ETTh2,mask,48,1.78950,0.43472,9,,
TCN,ETTh2,mask,96,1.61261,0.28795,9,,
TCN,ETTh2,scale,0.1,1.02863,0.04950,9,,
TCN,ETTh2,scale,0.25,1.14354,0.06214,9,,
TCN,ETTh2,scale,0.5,1.47164,0.14331,9,,
TCN,ETTh2,shift,0.5,1.51330,0.43461,9,,
TCN,ETTh2,shift,1.0,2.92755,1.22997,9,,
TCN,ETTh2,shift,2.0,8.24811,4.19810,9,,
TCN,ETTh2,spike,0.01,1.52824,0.44153,9,,
TCN,ETTh2,spike,0.03,4.58577,6.01250,9,,
TCN,ETTh2,spike,0.05,9.93415,16.73964,9,,
TCN,ETTm1,dead,1,1.42088,0.45059,9,1.00000,0.00000
TCN,ETTm1,dead,2,1.71545,0.54688,9,1.00000,0.00000
TCN,ETTm1,gauss,0.1,1.00270,0.00210,9,,
TCN,ETTm1,gauss,0.25,1.03163,0.01528,9,,
TCN,ETTm1,gauss,0.5,1.44298,0.18165,9,,
TCN,ETTm1,gauss,1.0,5.86907,3.80170,9,,
TCN,ETTm1,mask,16,1.11196,0.03944,9,,
TCN,ETTm1,mask,48,1.12719,0.04453,9,,
TCN,ETTm1,mask,96,1.13247,0.04985,9,,
TCN,ETTm1,scale,0.1,1.02486,0.01132,9,,
TCN,ETTm1,scale,0.25,1.13812,0.04474,9,,
TCN,ETTm1,scale,0.5,1.52384,0.14687,9,,
TCN,ETTm1,shift,0.5,1.58605,0.11783,9,,
TCN,ETTm1,shift,1.0,3.51423,0.45750,9,,
TCN,ETTm1,shift,2.0,11.45356,1.96457,9,,
TCN,ETTm1,spike,0.01,1.97173,0.49856,9,,
TCN,ETTm1,spike,0.03,4.74770,2.14229,9,,
TCN,ETTm1,spike,0.05,8.43874,5.26692,9,,
TCN,ETTm2,dead,1,2.74275,1.30113,9,1.00000,0.00000
TCN,ETTm2,dead,2,3.91273,1.70133,9,1.00000,0.00000
TCN,ETTm2,gauss,0.1,1.00262,0.00359,9,,
TCN,ETTm2,gauss,0.25,1.03830,0.01994,9,,
TCN,ETTm2,gauss,0.5,1.31778,0.16187,9,,
TCN,ETTm2,gauss,1.0,2.71098,0.96209,9,,
TCN,ETTm2,mask,16,3.10332,0.22681,9,,
TCN,ETTm2,mask,48,2.41284,0.23391,9,,
TCN,ETTm2,mask,96,2.09198,0.29513,9,,
TCN,ETTm2,scale,0.1,0.95466,0.03156,9,,
TCN,ETTm2,scale,0.25,1.09744,0.20048,9,,
TCN,ETTm2,scale,0.5,1.89732,0.79595,9,,
TCN,ETTm2,shift,0.5,2.26259,0.41147,9,,
TCN,ETTm2,shift,1.0,5.23599,1.59480,9,,
TCN,ETTm2,shift,2.0,16.59565,6.32974,9,,
TCN,ETTm2,spike,0.01,1.79792,0.38703,9,,
TCN,ETTm2,spike,0.03,3.02399,0.71063,9,,
TCN,ETTm2,spike,0.05,3.98507,1.08494,9,,
TCN,Weather,dead,1,1.09607,0.09767,9,1.00000,0.00000
TCN,Weather,dead,2,1.13270,0.11323,9,1.00000,0.00000
TCN,Weather,gauss,0.1,1.00655,0.00324,9,,
TCN,Weather,gauss,0.25,1.04832,0.01635,9,,
TCN,Weather,gauss,0.5,1.26538,0.07782,9,,
TCN,Weather,gauss,1.0,1.83071,0.22436,9,,
TCN,Weather,mask,16,1.19309,0.12644,9,,
TCN,Weather,mask,48,1.19404,0.12994,9,,
TCN,Weather,mask,96,1.19319,0.13228,9,,
TCN,Weather,scale,0.1,1.01210,0.00840,9,,
TCN,Weather,scale,0.25,1.08012,0.05019,9,,
TCN,Weather,scale,0.5,1.30873,0.18974,9,,
TCN,Weather,shift,0.5,2.22228,0.35883,9,,
TCN,Weather,shift,1.0,5.21673,1.46430,9,,
TCN,Weather,shift,2.0,15.17752,5.97405,9,,
TCN,Weather,spike,0.01,1.12410,0.04092,9,,
TCN,Weather,spike,0.03,1.40464,0.12070,9,,
TCN,Weather,spike,0.05,1.65774,0.21010,9,,
TSMixer,ETTh1,dead,1,1.32279,0.33419,9,1.00517,0.03537
TSMixer,ETTh1,dead,2,1.50536,0.40910,9,1.00687,0.03932
TSMixer,ETTh1,gauss,0.1,1.00295,0.00236,9,,
TSMixer,ETTh1,gauss,0.25,1.02086,0.01144,9,,
TSMixer,ETTh1,gauss,0.5,1.08426,0.03213,9,,
TSMixer,ETTh1,gauss,1.0,1.33605,0.09262,9,,
TSMixer,ETTh1,mask,16,1.06502,0.03721,9,,
TSMixer,ETTh1,mask,48,1.12386,0.04921,9,,
TSMixer,ETTh1,mask,96,1.17694,0.07826,9,,
TSMixer,ETTh1,scale,0.1,1.05724,0.00684,9,,
TSMixer,ETTh1,scale,0.25,1.21648,0.00894,9,,
TSMixer,ETTh1,scale,0.5,1.67761,0.04763,9,,
TSMixer,ETTh1,shift,0.5,1.41433,0.21279,9,,
TSMixer,ETTh1,shift,1.0,3.09058,0.64951,9,,
TSMixer,ETTh1,shift,2.0,10.22881,2.19617,9,,
TSMixer,ETTh1,spike,0.01,1.16174,0.04630,9,,
TSMixer,ETTh1,spike,0.03,1.47253,0.10761,9,,
TSMixer,ETTh1,spike,0.05,1.74742,0.18370,9,,
TSMixer,ETTh2,dead,1,2.22918,0.85777,9,1.00034,0.00769
TSMixer,ETTh2,dead,2,3.06012,0.96820,9,1.00323,0.00734
TSMixer,ETTh2,gauss,0.1,1.00848,0.00527,9,,
TSMixer,ETTh2,gauss,0.25,1.06114,0.02528,9,,
TSMixer,ETTh2,gauss,0.5,1.26440,0.09739,9,,
TSMixer,ETTh2,gauss,1.0,2.18829,0.41935,9,,
TSMixer,ETTh2,mask,16,1.51118,0.29812,9,,
TSMixer,ETTh2,mask,48,1.64545,0.30027,9,,
TSMixer,ETTh2,mask,96,1.55806,0.17247,9,,
TSMixer,ETTh2,scale,0.1,1.13313,0.01202,9,,
TSMixer,ETTh2,scale,0.25,1.56865,0.04129,9,,
TSMixer,ETTh2,scale,0.5,2.92338,0.19954,9,,
TSMixer,ETTh2,shift,0.5,1.69644,0.21893,9,,
TSMixer,ETTh2,shift,1.0,3.96849,0.71444,9,,
TSMixer,ETTh2,shift,2.0,13.23944,2.55166,9,,
TSMixer,ETTh2,spike,0.01,1.47377,0.16283,9,,
TSMixer,ETTh2,spike,0.03,2.48667,0.51884,9,,
TSMixer,ETTh2,spike,0.05,3.67581,0.88217,9,,
TSMixer,ETTm1,dead,1,1.42916,0.42139,9,1.00113,0.00191
TSMixer,ETTm1,dead,2,1.75230,0.52380,9,1.00073,0.00206
TSMixer,ETTm1,gauss,0.1,1.00347,0.00097,9,,
TSMixer,ETTm1,gauss,0.25,1.02226,0.00638,9,,
TSMixer,ETTm1,gauss,0.5,1.08892,0.02604,9,,
TSMixer,ETTm1,gauss,1.0,1.35502,0.10538,9,,
TSMixer,ETTm1,mask,16,1.11845,0.05234,9,,
TSMixer,ETTm1,mask,48,1.12286,0.05204,9,,
TSMixer,ETTm1,mask,96,1.14224,0.06377,9,,
TSMixer,ETTm1,scale,0.1,1.05659,0.00297,9,,
TSMixer,ETTm1,scale,0.25,1.24267,0.02549,9,,
TSMixer,ETTm1,scale,0.5,1.82261,0.11277,9,,
TSMixer,ETTm1,shift,0.5,1.81557,0.14604,9,,
TSMixer,ETTm1,shift,1.0,4.29374,0.54661,9,,
TSMixer,ETTm1,shift,2.0,14.23793,2.11380,9,,
TSMixer,ETTm1,spike,0.01,1.15190,0.04628,9,,
TSMixer,ETTm1,spike,0.03,1.46214,0.14180,9,,
TSMixer,ETTm1,spike,0.05,1.77058,0.23397,9,,
TSMixer,ETTm2,dead,1,2.87912,1.35498,9,0.99725,0.00463
TSMixer,ETTm2,dead,2,4.19808,1.79559,9,0.99801,0.00762
TSMixer,ETTm2,gauss,0.1,1.00455,0.00370,9,,
TSMixer,ETTm2,gauss,0.25,1.03913,0.01447,9,,
TSMixer,ETTm2,gauss,0.5,1.17221,0.05427,9,,
TSMixer,ETTm2,gauss,1.0,1.73057,0.20766,9,,
TSMixer,ETTm2,mask,16,1.71374,0.31283,9,,
TSMixer,ETTm2,mask,48,2.13892,0.34144,9,,
TSMixer,ETTm2,mask,96,2.19760,0.27512,9,,
TSMixer,ETTm2,scale,0.1,1.13129,0.02735,9,,
TSMixer,ETTm2,scale,0.25,1.67047,0.18005,9,,
TSMixer,ETTm2,scale,0.5,3.48176,0.73529,9,,
TSMixer,ETTm2,shift,0.5,2.18344,0.35065,9,,
TSMixer,ETTm2,shift,1.0,5.70015,1.43755,9,,
TSMixer,ETTm2,shift,2.0,19.73335,5.82092,9,,
TSMixer,ETTm2,spike,0.01,1.29681,0.09556,9,,
TSMixer,ETTm2,spike,0.03,1.92979,0.27554,9,,
TSMixer,ETTm2,spike,0.05,2.60098,0.46201,9,,
TSMixer,Weather,dead,1,1.08892,0.08955,9,1.00042,0.00073
TSMixer,Weather,dead,2,1.12518,0.10470,9,1.00078,0.00116
TSMixer,Weather,gauss,0.1,1.00242,0.00124,9,,
TSMixer,Weather,gauss,0.25,1.01638,0.00820,9,,
TSMixer,Weather,gauss,0.5,1.07231,0.03503,9,,
TSMixer,Weather,gauss,1.0,1.30804,0.14795,9,,
TSMixer,Weather,mask,16,1.08823,0.07574,9,,
TSMixer,Weather,mask,48,1.12001,0.09278,9,,
TSMixer,Weather,mask,96,1.12532,0.09589,9,,
TSMixer,Weather,scale,0.1,1.05470,0.00067,9,,
TSMixer,Weather,scale,0.25,1.21755,0.02653,9,,
TSMixer,Weather,scale,0.5,1.70446,0.14572,9,,
TSMixer,Weather,shift,0.5,2.12465,0.29638,9,,
TSMixer,Weather,shift,1.0,5.42757,1.22896,9,,
TSMixer,Weather,shift,2.0,18.56819,5.00368,9,,
TSMixer,Weather,spike,0.01,1.12618,0.05949,9,,
TSMixer,Weather,spike,0.03,1.39790,0.18643,9,,
TSMixer,Weather,spike,0.05,1.67682,0.32153,9,,
